№;Наименование таблицы;Поля;;;;;;;
;;Наименование;Описание;Тип поля;Уник.;Обязат.;Длина;Колич. знаков после запятой;Связь с другой таблицей( название таблицы и поле связи)
1;TaxPlace;ID;Идентификатор принятого документа;Целое число;да;да;;;
;;Region_ID;Номер Региона;Целое число;да;да;;;
;;TaxOrganCode;Код налогового органа;текстовое поле;нет;нет;300 символов;;
;;Okato_ID;Номер ОКАТО;текстовое поле;нет;нет;20 символов;;
;;Oktmo_ID;Номер ОКТМО;текстовое поле;нет;нет;20 символов;;
;;MunObraz;Муниципальное образование;текстовое поле;да;нет;300 символов;;
;;TaxPeriod;Налоговый период;текстовое поле;нет;нет;300 символов;;
;;LawNum;Номер налогового документа;текстовое поле;нет;нет;300 символов;;
;;LawDate;Дата налогового документа;дата;нет;нет;;;
;;LawDoc;Налоговый документ;текстовое поле;нет;нет;300 символов;;
;;PayFiz;Принадлежность к физическим лицам;текстовое поле;нет;нет;300 символов;;
;;PayYur;Принадлежность к юридическим лицам;текстовое поле;нет;нет;300 символов;;
;;FileGUID;Случайно сгенерированный уникальный ключ файла;текстовое поле;да;нет;300 символов;;
;;TableType;Тип таблицы: ставки или льготы;Целое число;нет;нет;;;
;;Nalog_ID;Идентификатор налога;Целое число;нет;нет;;;List ID
2;TaxRate;ID;Идентификатор ставки;Целое число;нет;да;;;
;;TaxPlace_ID;Идентификатор принятого документа;Целое число;нет;да;;;TaxPlace ID
;;TaxObject;Описание ставки;текстовое поле;нет;нет;300 символов;;
;;TaxRates;Значение ставки;Дробное число;нет;нет;2;;
;;Nalog_ID;Идентификатор налога;Целое число;да;нет;;;List ID
;;FL;Физическое лицо;Целое число;нет;нет;;;
;;UL;Юридическое лицо;Целое число;нет;нет;;;
;;IP;Индивидуальный предприниматель;Целое число;нет;нет;;;
3;TaxBenefit;ID;Идентификатор;Целое число;да;да;;;
;;TaxPlace_ID;Идентификатор принятого документа;Целое число;нет;да;;;TaxPlace ID
;;Category;Категория налогоплательщика;текстовое поле;нет;нет;;;
;;Base;Основание продоставления льготы;текстовое поле;да;нет;;;
;;Amount;Значение льготы;Дробное число;нет;нет;2;;
;;Unit;Единица измерения;текстовое поле;нет;нет;50 символов;;
;;Condition;Основания предоставления льготы;текстовое поле;нет;нет;;;
;;LawArticle;Статья принятого документа;текстовое поле;нет;нет;;;
;;FL;Физическое лицо;Целое число;нет;нет;;;
;;UL;Юридическое лицо;Целое число;нет;нет;;;
;;IP;Индивидуальный предприниматель;Целое число;нет;нет;;;
;List;ID;Идентификатор записи;Целое число;нет;да;;;
;;List_Value;Текстовые значения связанных записей;текстовое поле;нет;да;500 символов;;
